Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
Ninja Blade,Action,2009,2016,X360,4,,,
Pac Man World 2,3D Platformer,2002,,GCN,4,,,
Panzer Dragon II Zwei,Rail Shooter,1996,,SAT,4,,,
Panzer Dragoon Saga,JRPG,1998,,SAT,4,,,
Phoenix Wright: Ace Attorney,VN,2001,,NDS,4,,,
Pokemon Snap,Rail Shooter,1999,2019,N64,4,,,
Pokemon the Trading Card Game,JRPG,1998,2018,GBC,4,,,
Professor Layton vs. Phoenix Wright Ace Attorney,Puzzle,2012,2014,3DS,4,,,
Punch-Out!!,WTF,2009,2015,Wii,4,,,
Rayman Legends,2D Platformer,2013,2013,PS4,4,,,
Rhythm Heaven Fever,Rhythm,2011,2012,Wii,4,,,
Rising Zan: the Samurai Gunman,Action,1999,2015,PS1,4,,,
Rock Band 2,Rhythm,2008,2008,Wii,4,,,
Sayonara Umihara Kawase,2D Platformer,2013,2015,3DS,4,,,
Serious Sam: The First Encounter,FPS,2001,2016,PC,4,,,
Shadow of Memories,Adventure,2001,2018,PS2,4,,,
Sin & Punishment: Star Successor,Rail Shooter,2009,2013,Wii,4,,,
Sly Cooper and the Thievius Raccoonus,3D Platformer,2002,,PS2,4,,,
Sonic & All Stars Racing Transformed,Racing,2012,,PC,4,,,
Sonic Adventure,3D Platformer,1998,2016,DC,4,,,
Sonic Adventure 2: Battle,3D Platformer,2001,,GCN,4,,,
Sonic Mania,2D Platformer,2017,2017,PS4,4,,,
Spongebob Squarepants: Battle for Bikini Bottom,3D Platformer,2003,,GCN,4,,,
SSX Tricky,Extreme Sports,2001,2012,PS2,4,,,
Super Mario Land 2,2D Platformer,1992,,GB,4,,,
Super Mario World,2D Platformer,1990,,SNES,4,,,
Super Metroid,Metroidvania,1994,,SNES,4,,,
The Bouncer,Beat 'Em Up,2001,2021,PS2,4,,,
The Darkness,FPS,2007,2014,X360,4,,,
The Last Story,JRPG,2011,2012,Wii,4,,,
Theatrhythm Final Fantasy: Curtain Call,Rhythm,2014,2014,3DS,4,,,
Titanfall 2,FPS,2016,2021,PC,4,,,
Tonic Trouble,3D Platformer,1999,2021,N64,4,,,
Tony Hawk's Pro Skater,Extreme Sports,1999,2016,DC,4,,,
Trauma Center: Under the Knife,WTF,2005,2013,NDS,4,,,
Trauma Center: Under the Knife 2,WTF,2008,2014,NDS,4,,,
Turok: Dinosaur Hunter,FPS,1997,2016,PC,4,,,
Ty the Tasmanian Tiger,3D Platformer,2002,,GCN,4,,,
Typing of the Dead: Overkill,WTF,2013,2013,PC,4,,,
Uncharted 2,TPS,2009,2010,PS3,4,,,
Uncharted 3,TPS,2011,2020,PS3,4,,,
VVVVVV,2D Platformer,2010,,PC,4,,,
Wave Race: Blue Storm,Racing,2001,2018,GCN,4,,,
Way of the Samurai,Action,2002,2020,PS2,4,,,
Wipeout 2048,Racing,2012,2015,PSV,4,,,
Wipeout HD,Racing,2008,2012,PS3,4,,,
Yakuza,ARPG,2005,2013,PS2,4,,,
Yakuza Kiwami 2,ARPG,2018,2020,PC,4,,,
Yakuza 3,ARPG,2009,2014,PS3,4,,,
Yakuza 4,ARPG,2010,2015,PS3,4,,,
Yu-Gi-Oh! Forbidden Memories,JRPG,1999,2018,PS1,4,,,
Zone of The Enders: The 2nd Runner MARS,Action,2018,2018,PS4,4,,,
Zone of the Enders: The 2nd Runner,Action,2003,2017,PS2,4,,,
007 Nightfire,FPS,2002,2019,GCN,3,,,
Ace Combat 6,Flight,2007,2014,X360,3,,,
Ace Combat Assault Horizon Legacy,Flight,2011,2013,3DS,3,,,
AeroFighters Assault,Flight,1997,2020,N64,3,,,
Alien Hominid,Shooter,2004,,GCN,3,,,
Apollo Justice: Ace Attorney,VN,2007,2017,NDS,3,,,
Army Men: Sarge's Heroes 2,TPS,2000,2020,N64,3,,,
Asteroids Hyper 64,Shmup,1999,2020,N64,3,,,
Atelier Ayesha,JRPG,2012,2016,PS3,3,,,
Atelier Totori,JRPG,2010,2013,PS3,3,,,
Avatar: The Last Airbender,Action,2006,,GCN,3,,,
Banjo-Kazooie: Grunty's Revenge,3D Platformer,2003,2018,GBA,3,,,
Bastion,Action,2011,2013,PC,3,,,
Bayonetta 2,Action,2014,2015,Wii U,3,,,
Beautiful Katamari,WTF,2007,2014,X360,3,,,
BIT.TRIP RUNNER,Rhythm,2010,,PC,3,,,
Black,FPS,2005,,XBOX,3,,,
Blast Corps,WTF,1997,2021,N64,3,,,
Bomberman Hero,3D Platformer,1998,2013,N64,3,,,
Bubble Bobble,2D Platformer,1986,2020,NES,3,,,
Bully: Scholarship Edition,Open World,2008,2013,PC,3,,,
Castle Crashers,Beat 'Em Up,2008,,PS3,3,,,
Chameleon Twist,3D Platformer,1997,2020,N64,3,,,
Chameleon Twist 2,3D Platformer,1999,2020,N64,3,,,
Code of Princess,Beat 'Em Up,2012,2021,PC,3,,,
Crash Bandicoot 2,3D Platformer,1997,,PS1,3,,,
Crash Bandicoot: the Wrath of Cortex,3D Platformer,2001,,GCN,3,,,
Dead Nation,Action,2010,2011,PS3,3,,,
Death Squared,Puzzle,2017,2020,NSW,3,,,
Destroy All Humans!,Action,2005,2012,PS2,3,,,
Deus Ex: Human Revolution,WRPG,2011,2013,PC,3,,,
Donald Duck - Goin' Quackers,3D Platformer,2000,2020,N64,3,,,
Donkey Kong Country 3,2D Platformer,1996,2013,SNES,3,,,
Dragon Quest Heroes,Action,2015,2017,PS4,3,,,
Dragon's Crown,Beat 'Em Up,2013,2018,PS3,3,,,
Driver,Racing,1999,,PS1,3,,,
Driver: San Francisco,Open World,2011,2020,X360,3,,,
Duck Dodgers Starring: Daffy Duck,3D Platformer,2000,2020,N64,3,,,
Dynamite Cop,Beat 'Em Up,1998,,DC,3,,,
Ecks vs. Sever,FPS,2001,2015,GBA,3,,,
Fist of the North Star: Lost Paradise,ARPG,2018,2020,PS4,3,,,
Gex,2D Platformer,1995,2021,PS1,3,,,
God of War,Action,2005,,PS2,3,,,
Goldeneye 007,FPS,1997,2019,N64,3,,,
Goof Troop,Puzzle,1993,2018,SNES,3,,,
Grand Theft Auto 3,Open World,2001,2013,PC,3,,,
Grand Theft Auto IV,Open World,2008,2018,PC,3,,,
Grand Theft Auto: Vice City Stories,Open World,2006,2018,PS2,3,,,
Grind Session,Extreme Sports,2000,2021,PS1,3,,,
Guitar Hero 3,Rhythm,2007,2008,Wii,3,,,
Half Life 2,FPS,2004,,PC,3,,,
Halo 3: ODST,FPS,2009,2014,X360,3,,,
Halo Reach,FPS,2010,2015,X360,3,,,
Harmful Park,Shmup,1997,,PS1,3,,,
Harry Potter and the Chamber of Secrets,Adventure,2002,,GCN,3,,,
Infamous,Open World,2009,2010,PS3,3,,,
